PAPEL;SEGMENTO;COTACAO;FFO_YIELD;DIVIDEND_YIELD;P_VP;VALOR_DE_MERCADO;LIQUIDEZ;QTD_DE_IMOVEIS;PRECO_DO_M2;ALUGUEL_POR_M2;CAP_RATE;VACANCIA_MEDIA
PMFO11;Títulos e Val. Mob.;90.22;0.022400000000000003;0.1131;1.09;88046300.0;0.0;0;0.0;0.0;0.0;0.0
PMIS11;Títulos e Val. Mob.;7.12;0.1008;0.1514;0.79;105399000.0;321446.0;0;0.0;0.0;0.0;0.0
PNCR11;Residencial;68.65;-0.0037;0.1065;1.17;34325000.0;45.0;1;27017.4;0.0;0.0;0.0
PNDL11;Títulos e Val. Mob.;1150.0;-0.0024;0.0;1.07;165982000.0;670825.0;0;0.0;0.0;0.0;0.0
PNPR11;Híbrido;56.45;0.11410000000000001;0.028300000000000002;1.06;50681800.0;372881.0;1;4113.21;480.97;0.11689999999999999;0.0
PNRC11;Híbrido;105.95;0.0679;0.11630000000000001;1.4;43450100.0;0.0;3;12302.8;0.0;0.0;0.0
PORD11;Títulos e Val. Mob.;7.46;0.1378;0.1454;0.79;278137000.0;647241.0;0;0.0;0.0;0.0;0.0
PQAG11;Logística;54.5;0.10279999999999999;0.1003;0.95;762558000.0;241074.0;1;12073.7;1190.96;0.0986;0.0
PQDP11;Shoppings;2090.0;0.15460000000000002;0.0722;0.63;210172000.0;473893.0;1;1614060.0;222212.87;0.1377;0.015
PRSN11;Residencial;1.67;-0.1818;0.3003;0.5;5396180.0;514.0;2;10513.5;0.0;0.0;0.0
PRSV11;Lajes Corporativas;43.78;-0.3065;0.0;0.28;9155270.0;2255.0;1;908.26;0.0;0.0;1.0
PULV11;Títulos e Val. Mob.;8.6;0.0816;0.0208;0.87;103202000.0;28866.0;0;0.0;0.0;0.0;0.0
PURB11;Híbrido;95.1;0.1188;0.0;0.82;107954000.0;0.0;2;19138.5;2369.56;0.12380000000000001;0.09699999999999999
PVBI11;Lajes Corporativas;71.61;0.085;0.1033;0.69;1942780000.0;4925840.0;7;18846.3;1644.78;0.0873;0.1573
QAGR11;Outros;41.0;0.1301;0.1276;0.69;206640000.0;870269.0;12;1459.66;215.09;0.1474;0.0
QAMI11;Títulos e Val. Mob.;84.68;0.24530000000000002;0.0;0.91;67862400.0;0.0;0;0.0;0.0;0.0;0.0
QIFF11;Títulos e Val. Mob.;97.49;0.07629999999999999;0.0;1.09;14623500.0;0.0;0;0.0;0.0;0.0;0.0
QIRI11;Títulos e Val. Mob.;78.04;0.0953;0.0;0.87;11706000.0;0.0;0;0.0;0.0;0.0;0.0
QMFF11;Títulos e Val. Mob.;98.52;0.0755;0.0;1.1;14778000.0;0.0;0;0.0;0.0;0.0;0.0
RBBV11;Títulos e Val. Mob.;100.0;0.06509999999999999;0.0;0.99;125416000.0;0.0;0;0.0;0.0;0.0;0.0
RBCO11;Lajes Corporativas;44.0;0.1233;0.0839;0.49;166276000.0;144616.0;4;3812.31;614.84;0.1613;0.0
RBDS11;Residencial;2.36;-0.6496;0.0;0.13;298594.0;228.0;0;0.0;0.0;0.0;0.0
RBED11;Outros;94.32;0.1677;0.22820000000000001;0.84;222126000.0;226204.0;7;0.0;398.61;0.0;0.0
RBFF11;Títulos e Val. Mob.;45.38;0.1325;0.1331;0.78;170139000.0;765709.0;0;0.0;0.0;0.0;0.0
RBGS11;Shoppings;28.45;0.033;0.0;0.31;30669100.0;0.0;1;1051.57;52.68;0.0501;0.11939999999999999
